Input Size,Insertion Sort Time,Merge Sort Time,Tim Sort Time
1,1.296e-07,1.538e-07,3.646e-07
6,9.2e-07,4.7813e-06,1.0818e-06
11,2.1068e-06,1.02617e-05,2.2447e-06
16,4.4963e-06,1.66651e-05,4.5863e-06
21,7.528e-06,2.3255e-05,7.7105e-06
26,1.2793e-05,2.99483e-05,1.32075e-05
31,1.51183e-05,3.53734e-05,1.48854e-05
36,2.04892e-05,4.19641e-05,1.60153e-05
41,2.80758e-05,4.91194e-05,2.03375e-05
46,3.95678e-05,5.59424e-05,2.52579e-05
51,4.36566e-05,6.2825e-05,3.21e-05
56,4.95091e-05,7.09096e-05,3.40299e-05
61,5.36894e-05,7.77349e-05,4.0902e-05
66,6.22841e-05,8.43771e-05,3.66942e-05
71,8.25646e-05,9.2417e-05,4.56912e-05
76,9.01408e-05,0.000100553,4.46159e-05
81,0.000108545,0.0001065268,5.43909e-05
86,0.0001120696,0.000114888,5.46939e-05
91,0.0001358476,0.0001247901,6.18447e-05
96,0.0001500838,0.0001340238,6.60426e-05
101,0.0001686804,0.0001519624,8.69933e-05
106,0.0001789962,0.0001454207,7.67816e-05
111,0.0001573829,0.0001534675,7.9037e-05
116,0.0002124312,0.000162547,8.64524e-05
121,0.0002047042,0.0001695608,9.03587e-05
126,0.0002481679,0.0001758067,9.31421e-05
131,0.0002425242,0.0001842092,9.37033e-05
136,0.0002438617,0.000193912,9.04034e-05
141,0.000303757,0.0001997324,9.83711e-05
146,0.0003260667,0.0002100799,0.0001070945
151,0.0003616254,0.0002177671,0.0001098033
156,0.0003524795,0.0002251187,0.0001137958
161,0.0003878466,0.0002320258,0.0001170567
166,0.0004110229,0.0002401421,0.0001261963
171,0.000396895,0.0002497804,0.0001278247
176,0.0004279925,0.000257386,0.0001264414
181,0.0004465234,0.0002654066,0.0001413358
186,0.0005048805,0.0002726437,0.0001517233
191,0.0005147642,0.0002809492,0.0001474066
196,0.0005698953,0.0002907374,0.0001492287
201,0.0006700834,0.0003032593,0.000160841
206,0.00060436,0.0003086271,0.000167425
211,0.0006394071,0.0003165475,0.0001735324
216,0.0006493995,0.0003233658,0.0001741684
221,0.0007698412,0.0003344112,0.0001885321
226,0.0007319996,0.0003445617,0.0001869979
231,0.0007807233,0.00034743,0.0001956855
236,0.00078144,0.0003563283,0.0001888009
241,0.0008353576,0.0003647596,0.0002126309
246,0.0009214876,0.0003724347,0.0002223201
251,0.0008907288,0.0003807038,0.000224847
256,0.0009197309,0.0003874633,0.0002216199
261,0.0009990971,0.000400557,0.0002224512
266,0.0010756962,0.000410147,0.0002199687
271,0.0010975391,0.0004211512,0.0002248595
276,0.0011098695,0.0004324749,0.0002291559
281,0.0012612104,0.0004469617,0.0002450267
286,0.0012230754,0.0004556625,0.000246753
291,0.0012281151,0.0004668338,0.0002580896
296,0.0012511605,0.0004695276,0.0002573938
301,0.0013335838,0.0004799833,0.0002623405
306,0.0014474975,0.0004890542,0.00027233
311,0.0014719675,0.0004992745,0.0002769692
316,0.0015668183,0.0005109662,0.0002832147
321,0.0015511967,0.0005227162,0.0002913074
326,0.0015480654,0.0005307395,0.0002985621
331,0.0018593741,0.000547448,0.0003114066
336,0.0017085824,0.0005522599,0.0003132805
341,0.0017863546,0.0005854338,0.000328123
346,0.0018210471,0.000576303,0.000327088
